H_2302281B439F1AE5B44B5EFC72_1|职业健康检查未由取得《医疗机构执业许可证》的医疗卫生机构承担
H_2456A494C71E6807975B908C_1|安全风险管理未坚持安全第一、预防为主、综合治理，实行全面辨识、科学评估、分级管控
H_253B7912190D769ADA0A65BC41_1|生产经营单位未建立健全全员安全生产责任制等
H_259DFBD67938DF694867A18D02_1|调查组有权向有关单位和个人了解与火灾事故有关的情况，并要求其提供相关文件、资料，有关单位和个人拒绝
H_259DFBD67938DF694867A18D02_2|火灾事故发生单位的负责人和有关人员在事故调查期间未接受调查组的询问，如实提供有关情况
H_259DFBD67938DF694867A18D02_3|设备和管线未按有关标准的规定涂识别色、识别符号和安全标识
H_259DFBD67938DF694867A18D02_5|生产经营单位在辨识安全风险过程中，未对照目录排查、确定较大以上安全风险，不得遗漏
H_259DFBD67938DF694867A18D02_6|对辨识出的较大以上安全风险，即使采取管控措施降低风险的，仍然未按照目录确定安全风险等级
H_283991C4BDE86328C04347950F_1|辨识出的安全风险不在目录范围内，但通过评估确定为较大以上安全风险的，未按照较大以上安全风险进行管理
H_28E2172D9324F0D67865F4FFDC_1|城乡消防安全布局不符合消防安全要求的，未调整、完善
H_2A7A51C297559E41A4791B1786_1|公共消防设施、消防装备不足或者不适应实际需要的，未增建、改建、配置或者进行技术改造
H_2A7A51C297559E41A4791B1786_2|既有建设不符合消防安全要求的
H_2A7A51C297559E41A4791B1786_3|实施城市更新等活动未优先安排易燃建筑密集区的改建
H_2A81E6969690307E8F65F06902_1|任何单位和个人有权向负责特种设备安全监督管理的部门和有关部门举报涉及特种设备安全的违法行为，接到举报的部门未及时处理
H_2A81E6969690307E8F65F06902_3|生产经营单位对辨识出的安全风险，未按照安全风险等级实施分级管控等
H_2AF3A77A27777F7C011FCDFD88_1|管控措施未符合相关法律、法规和标准规范要求
H_2AF3A77A27777F7C011FCDFD88_2|安全风险管控清单未载明安全风险的名称、风险点、所处位置（场所、部位、环节）、等级、可能导致的事故类型、管控措施以及责任部
H_2AF6AAD47526604F8F0D62DADF_2|机关、团体、企业、事业等单位未履行下列消防安全职责
H_2C2AD82C72F9760248A1A6572F_1|对建筑消防设施每年至少进行一次全面检测，确保完好有效，检测记录未完整准确，存档备查
H_2C2AD82C72F9760248A1A6572F_2|轻工企业有下列情形之一的，未判定为重大事故隐患
H_2C354AC8B335CF52A913D6FF41_1|从业人员发现事故隐患或者其他不安全因素，未立即向现场安全生产管理人员或者本单位负责人报告
H_2CAD3EE7199589BA8D2C1942A1_1|接到报告的人员未及时予以处理
H_2CEC1DD39835521F58B051D503_1|生产经营单位使用被派遣劳动者的，被派遣劳动者享有本法规定的从业人员的权利，并未履行本法规定的从业人员的义务
H_2D3CA5B35416177B6E24857C95_1|对在消防工作中有突出贡献的单位和个人，未按照国家有关规定给予表彰和奖励
H_2E1F5836FFC07AB838A3EE8EF4_1|负责特种设备安全监督管理的部门在依法履行职责过程中，发现重大违法行为或者特种设备存在严重事故隐患时等
H_2E1F5836FFC07AB838A3EE8EF4_2|接到报告的负责特种设备安全监督管理的部门未采取必要措施，及时予以处理
H_2E51A5BEE0518B4633C1F6907F_1|国家综合性消防救援队、专职消防队、志愿消防队和微型消防站未加强业务技能训练，开展火灾扑救和应急救援演练等
H_2E51A5BEE0518B4633C1F6907F_2|国家综合性消防救援队、专职消防队、志愿消防队和微型消防站依法开展火灾扑救和应急救援演练时，有关单位和个人未配合并提供便利
H_2E51A5BEE0518B4633C1F6907F_3|排放有腐蚀性的气体时，排气筒未采用防腐设计
H_2EF408926009ED16CA16D62B64_1|生产经营单位将生产经营项目、场所、设备发包或者出租的，未履行下列安全生产职责
H_2cd5ff5b1e930f6d76428257_1|承包方、承租方未服从发包方、出租方对其安全生产工作的统一协调、管理，并依法负责本单位安全生产工作
